LR_main_field,type,threshold,measure,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100
All,citances,80,perc_citances1,0.151525926,0.111604938,0.068534431,0.04299808,0.031135254,0.025738272,0.024039506,0.023547874,0.024460905,0.02575144,0.02921262,0.034398903,0.041510014,0.050596433,0.058207956,0.062680933,0.064423594,0.061366255,0.049310288,0.018956379
Biomedical and health sciences,citances,80,perc_citances1,0.144325062,0.112352408,0.060709484,0.032967892,0.022853987,0.020019384,0.019618162,0.019784904,0.020983357,0.023421949,0.028226185,0.036042186,0.046208197,0.05833342,0.068186792,0.072662755,0.07301187,0.068447325,0.054133622,0.017711058
Life and earth sciences,citances,80,perc_citances1,0.178034193,0.111097686,0.068341086,0.040415635,0.028484263,0.022624298,0.019573491,0.020283332,0.022352444,0.023862744,0.027230713,0.031973056,0.039418836,0.048979037,0.057149761,0.061529632,0.066211563,0.063341992,0.051440826,0.01765541
Mathematics and computer science,citances,80,perc_citances1,0.160982949,0.125125376,0.086008024,0.068455366,0.052657974,0.042878636,0.038615848,0.03335005,0.030842528,0.020812437,0.02331996,0.02557673,0.020812437,0.030090271,0.034603811,0.036359077,0.045636911,0.050651956,0.04338014,0.029839519
Physical sciences and engineering,citances,80,perc_citances1,0.149096446,0.131325881,0.085446969,0.049344873,0.03279641,0.024502144,0.02502304,0.027727692,0.031333894,0.033597788,0.0350002,0.039407781,0.040850262,0.043755259,0.047121048,0.050046079,0.052009456,0.048783908,0.037324198,0.015506671
Social sciences and humanities,citances,80,perc_citances1,0.156426601,0.101531729,0.084216535,0.069660356,0.056169727,0.044125202,0.038892589,0.031167348,0.028674722,0.026277233,0.025192655,0.024850157,0.02646751,0.031205404,0.036533156,0.044619922,0.050271145,0.049738369,0.0457045,0.02827514
All,citances,80,perc_citances2,0.00413085,0.0036683,0.00291771,0.002366475,0.002014233,0.001820602,0.001800744,0.001850346,0.002011145,0.002195544,0.002512561,0.002866372,0.00321712,0.003580915,0.003817315,0.003941145,0.004026639,0.003995975,0.003953786,0.003754347
Biomedical and health sciences,citances,80,perc_citances2,0.005163169,0.005125136,0.003916424,0.002840972,0.002257283,0.002098392,0.002147099,0.002272423,0.002530381,0.002919244,0.003447501,0.004016689,0.004419141,0.004737435,0.004886836,0.004897474,0.004898126,0.004831406,0.004569257,0.004062208
Life and earth sciences,citances,80,perc_citances2,0.004877223,0.003577245,0.002774438,0.002104804,0.001718517,0.001462584,0.001324395,0.001444975,0.001694564,0.001910204,0.002221376,0.002500995,0.002793801,0.003087395,0.003275518,0.003351147,0.003553337,0.00346937,0.003477994,0.003486243
Mathematics and computer science,citances,80,perc_citances2,0.000870136,0.000734105,0.000585182,0.000550304,0.000504399,0.000486716,0.000506944,0.000494906,0.000505189,0.000368198,0.000433267,0.000493497,0.000412365,0.000605095,0.000712379,0.000749218,0.000940661,0.00102236,0.00090869,0.000814929
Physical sciences and engineering,citances,80,perc_citances2,0.001723976,0.001771485,0.001508027,0.001202517,0.001000513,0.00083419,0.000885762,0.000992353,0.001127419,0.001220471,0.001289625,0.00146957,0.001543297,0.001660315,0.001793822,0.001908734,0.001995066,0.001968337,0.002062173,0.002112497
Social sciences and humanities,citances,80,perc_citances2,0.009792605,0.007427234,0.006194169,0.005493599,0.005005502,0.004494325,0.004493256,0.004010538,0.004053821,0.0040865,0.004256318,0.004519031,0.005007272,0.005883303,0.006478935,0.007246534,0.007677376,0.007600981,0.00768087,0.007319656
All,citances,75,n_citances,0.015355344,0.011832574,0.007344392,0.004592293,0.003305008,0.002760602,0.002569386,0.0025333,0.002621649,0.002762054,0.003124161,0.003693454,0.004504566,0.005543603,0.006383543,0.006868634,0.007040977,0.006624948,0.005305101,0.001995738
Biomedical and health sciences,citances,75,n_citances,0.020918513,0.017167717,0.009366973,0.005037909,0.003468226,0.003074423,0.003002571,0.003031588,0.003233326,0.003597421,0.004331828,0.005500799,0.007197605,0.00916869,0.010726628,0.011357403,0.011429254,0.010537326,0.008284361,0.002658512
